Board.getPiece(),,Board board,int[ ] pos,,,Piece piece,,,,,,,
,TC1.154,board = initBoard(),"0,4",,,bb0,,,边界值+等价类,测试能否获取棋盘指定位置信息,,,
,TC1.155,board = initBoard(),"1,4",,,NA,,,边界值+等价类,测试能否获取棋盘指定位置信息,,,
,TC1.156,board = initBoard(),"4,4",,,NA,,,边界值+等价类,测试能否获取棋盘指定位置信息,,,
,TC1.157,board = initBoard(),"8,4",,,NA,,,边界值+等价类,测试能否获取棋盘指定位置信息,,,
,TC1.158,board = initBoard(),"9,4",,,rb0,,,边界值+等价类,测试能否获取棋盘指定位置信息,,,
,TC1.159,board = initBoard(),"4,0",,,NA,,,边界值+等价类,测试能否获取棋盘指定位置信息,,,
,TC1.160,board = initBoard(),"4,1",,,NA,,,边界值+等价类,测试能否获取棋盘指定位置信息,,,
,TC1.161,board = initBoard(),"4,7",,,NA,,,边界值+等价类,测试能否获取棋盘指定位置信息,,,
,TC1.162,board = initBoard(),"4,8",,,NA,,,边界值+等价类,测试能否获取棋盘指定位置信息,,,
,TC1.163,board = initBoard(),"0,0",,,bj0,,,等价类,测试能否获取棋盘指定位置信息,,,
,TC1.164,board = initBoard(),"3,0",,,bz0,,,等价类,测试能否获取棋盘指定位置信息,,,
,TC1.165,board = initBoard(),"6,0",,,rz0,,,等价类,测试能否获取棋盘指定位置信息,,,
,TC1.166,board = initBoard(),"9,0",,,rj0,,,等价类,测试能否获取棋盘指定位置信息,,,
