Module,TCNO,Input1,Input2,Input3,ExpectationOutput,Output,Time,Method,Version,Purpose,BubDescription,BugSolutionResult
Rules.getNextMove(),,String piece,int[ ] pos,Board board,ArrayList<int[ ]>,ArrayList<int[ ]>,,,,,,
,TC1.001,rm1,"0,4",NA,"{1,6},{2,5},{2,3},{1,2}",,,边界值+等价类,1,测试马的走法（无马脚）,,
,TC1.002,bm1,"1,4",NA,"{0,2},{0,6},{2,6},{3,5},{3,3}{2,2}",,,边界值+等价类,1,测试马的走法（无马脚）,,
,TC1.003,rm1,"4,4",NA,"{3,2},{2,3},{2,5},{3,6},{5,6},{6,5},{6,3},{5,2}",,,边界值+等价类,1,测试马的走法（无马脚）,,
,TC1.004,rm1,"8,4",NA,"{7,2},{6,3},{6,5},{7,6},{9,6},{9,2}",,,边界值+等价类,1,测试马的走法（无马脚）,,
,TC1.005,rm1,"9,4",NA,"{8,2},{7,3},{7,5},{8,6}",,,边界值+等价类,1,测试马的走法（无马脚）,,
,TC1.006,rm1,"4,0",NA,"{2,1},{3,2},{5,2},{6,1}",,,边界值+等价类,1,测试马的走法（无马脚）,,
,TC1.007,rm1,"4,1",NA,"{2,0},{2,2},{3,3},{5,3},{6,2},{6,0}",,,边界值+等价类,1,测试马的走法（无马脚）,,
,TC1.008,rm1,"4,7",NA,"{3,5},{2,6},{2,8},{6,8},{6,6},{5,5}",,,边界值+等价类,1,测试马的走法（无马脚）,,
,TC1.009,rm1,"4,8",NA,"{3,6},{2,7},{6,7},{5,6}",,,边界值+等价类,1,测试马的走法（无马脚）,,
,TC1.010,rm1,"4,4","board.isEmpty({3,2})=False board.getPiece({3,2}).color=r","{2,3},{2,5},{3,6},{5,6},{6,5},{6,3},{5,2}",,,等价类,1,测试马的走法（无马脚，下一步位置有己方障碍）,,
,TC1.011,rm1,"4,4","board.isEmpty({3,2})=False board.getPiece({3,2}).color=b","{3,2},{2,3},{2,5},{3,6},{5,6},{6,5},{6,3},{5,2}",,,等价类,1,测试马的走法（无马脚，下一步位置有敌方障碍）,,
,TC1.012,rm1,"4,4","board.isEmpty({4,3})=False","{2,3},{2,5},{3,6},{5,6},{6,5},{6,3}",,,等价类+错误推测法,1,测试马的走法（有马脚）,,
,TC1.013,rm1,"4,4","board.isEmpty({3,4})=False","{3,2},{3,6},{5,6},{6,5},{6,3},{5,2}",,,等价类+错误推测法,1,测试马的走法（有马脚）,,
,TC1.014,rm1,"4,4","board.isEmpty({4,5})=False","{3,2},{2,3},{2,5},{6,5},{6,3},{5,2}",,,等价类+错误推测法,1,测试马的走法（有马脚）,,
,TC1.015,rm1,"4,4","board.isEmpty({5,4})=False","{3,2},{2,3},{2,5},{3,6},{5,6},{5,2}",,,等价类+错误推测法,1,测试马的走法（有马脚）,,
,TC1.016,rj1,"0,4",NA,"{0,0},{0,1},{0,2},{0,3},{0,5},{0,6},{0,7},{0,8},{1,4},{2,4},{3,4},{4,4},{5,4},{6,4},{7,4},{8,4},{9,4}",,,边界值+等价类,1,测试车的走法（无障碍）,,
,TC1.017,bj1,"1,4",NA,"{1,0},{1,1},{1,2},{1,3},{1,5},{1,6},{1,7},{1,8},{0,4},{2,4},{3,4},{4,4},{5,4},{6,4},{7,4},{8,4},{9,4}",,,边界值+等价类,1,测试车的走法（无障碍）,,
,TC1.018,rj1,"4,4",NA,"{4,0},{4,1},{4,2},{4,3},{4,5},{4,6},{4,7},{4,8},{0,4},{1,4},{2,4},{3,4},{5,4},{6,4},{7,4},{8,4},{9,4}",,,边界值+等价类,1,测试车的走法（无障碍）,,
,TC1.019,rj1,"8,4",NA,"{8,0},{8,1},{8,2},{8,3},{8,5},{8,6},{8,7},{8,8},{0,4},{1,4},{2,4},{3,4},{4,4},{5,4},{6,4},{7,4},{9,4}",,,边界值+等价类,1,测试车的走法（无障碍）,,
,TC1.020,rj1,"9,4",NA,"{9,0},{9,1},{9,2},{9,3},{9,5},{9,6},{9,7},{9,8},{0,4},{1,4},{2,4},{3,4},{4,4},{5,4},{6,4},{7,4},{8,4}",,,边界值+等价类,1,测试车的走法（无障碍）,,
,TC1.021,rj1,"4,0",NA,"{4,1},{4,2},{4,3},{4,4},{4,5},{4,6},{4,7},{4,8},{0,0},{1,0},{2,0},{3,0},{5,0},{6,0},{7,0},{8,0},{9,0}",,,边界值+等价类,1,测试车的走法（无障碍）,,
,TC1.022,rj1,"4,1",NA,"{4,0},{4,2},{4,3},{4,4},{4,5},{4,6},{4,7},{4,8},{0,1},{1,1},{2,1},{3,1},{5,1},{6,1},{7,1},{8,1},{9,1}",,,边界值+等价类,1,测试车的走法（无障碍）,,
,TC1.023,rj1,"4,7",NA,"{4,0},{4,1},{4,2},{4,3},{4,4,},{4,5},{4,6},{4,8},{0,7},{1,7},{2,7},{3,7},{5,7},{6,7},{7,7},{8,7},{9,7}",,,边界值+等价类,1,测试车的走法（无障碍）,,
,TC1.024,rj1,"4,8",NA,"{4,0},{4,1},{4,2},{4,3},{4,4,},{4,5},{4,6},{4,7},{0,8},{1,8},{2,8},{3,8},{5,8},{6,8},{7,8},{8,8},{9,8}",,,边界值+等价类,1,测试车的走法（无障碍）,,
,TC1.025,rj1,"4,4","board.isEmpty({4,3})=False board.getPiece({4,3}).color=r","{4,5},{4,6},{4,7},{4,8},{0,4},{1,4},{2,4},{3,4},{5,4},{6,4},{7,4},{8,4},{9,4}",,,等价类+错误推测法,1,测试车的走法（有障碍，且障碍为己方）,,
,TC1.026,rj1,"4,4","board.isEmpty({4,3})=False board.getPiece({4,3}).color=b","{4,3},{4,5},{4,6},{4,7},{4,8},{0,4},{1,4},{2,4},{3,4},{5,4},{6,4},{7,4},{8,4},{9,4}",,,等价类+错误推测法,1,测试车的走法（有障碍，且障碍为敌方）,,
,TC1.027,rj1,"4,4","board.isEmpty({3,4})=False board.getPiece({3,4}).color=r","{4,0},{4,1},{4,2},{4,3},{4,5},{4,6},{4,7},{4,8},{5,4},{6,4},{7,4},{8,4},{9,4}",,,等价类+错误推测法,1,测试车的走法（有障碍，且障碍为己方）,,
,TC1.028,rj1,"4,4","board.isEmpty({3,4})=False board.getPiece({3,4}).color=b","{4,0},{4,1},{4,2},{4,3},{4,5},{4,6},{4,7},{4,8},{3,4},{5,4},{6,4},{7,4},{8,4},{9,4}",,,等价类+错误推测法,1,测试车的走法（有障碍，且障碍为敌方）,,
,TC1.029,rp1,"4,4",NA,"{4,0},{4,1},{4,2},{4,3},{4,5},{4,6},{4,7},{4,8},{0,4},{1,4},{2,4},{3,4},{5,4},{6,4},{7,4},{8,4},{9,4}",,,等价类+决策表,1,测试炮的走法（无障碍）,,
